Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
Wrote a module? ,Submit your mod here,,,,,,,,,,,,
SJ-DC-AMAK,Starlight’s Lament,5-10,7,4,"Spell Scroll of Air Bubble, Keoghtom's Ointment, Potion of Fire Breath",Astromancy Archive,Talking Doll,,,,1100,,
SJ-DC-AMO-KURI-00,Rumble in The Jungle,1-4,3,2,"Potion of Healing, Spell Scroll of Spare the Dying, Spell Scroll of Druidcraft",Hat of Disguise,,,The Archdruid,,250,Arcane Focus (Staff),
SJ-DC-AMO-KURI-01,Plunge in K's Dungeon,1-4,3,4,"Spell Scroll of Find Familiar, Spell Scroll of Sanctuary, Potion of Healing","Eldritch Claw Tattoo, Guardian property","Horn of Silent Alarm, Sentinel property (Aberrations)",,"The Observer's Ire, The Observer's Delight",,500,Musket,
SJ-DC-AMO-KURI-02,Guide on The Other Side,1-4,3,4,"Potion of Greater Healing, Spellwrought Tattoo of Dragon's Breath, Spell Scroll of Summon Fey","Bag of Holding, Unbreakable property","Heward's Handy Spice Pouch, Strange Material property (strange material)",,,,500,,"Smokepowder listed as a mundane object instead of magic item on award handout, not actually awarded in the adventure"
SJ-DC-AMO-KURI-03,Last Stand,5-10,8,4,"Potion of Greater Healing, Spellwrought Tattoo of Call Lightning, Spell Scroll of Revivify","Elemental Essence Shard (Earth), Beacon property","Staff of Adornment, Hidden Message property",,"The Observer's Message, An Entity's Noise",,5000,Trinket,
SJ-DC-AMOT-01,A Time to Heal,11-16,,4,,,,,,,,,
SJ-DC-AMOT-02,Gone in a Flash,11-16,,4,,,,,,,,,
SJ-DC-AMOT-03,Playing the Odds,11-16,,4,,,,,,,,,
SJ-DC-ANGKA-01,Requiem for Lost Souls,5-10,8,4,"Smokepowder Packet, Spell Scroll of Revivify, Potion of Greater Healing","Greatsword +2, Guardian property","Cloak of Many Fashion, Confident property",,,,5000,Musket,
SJ-DC-ANGKA-02,The Pursuit of Happiness,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Gentle Repose, Spell Scroll of Speak with Dead","Elemental Essence Shard (Air), Language property (Celestial)","Horn of Silent Alarm, Conscientious property",,,,5000,,
SJ-DC-ANGKA-03,Shipwrecked in the Sea of Madness,1-4,3,2,Keoghtom's Ointment,"Pearl of Power, Language property (Deep Speech)",,,,,250,,
SJ-DC-ANGKA-04,Driven by DNA,1-4,3,4,"Potion of Greater Healing, Dust of Disappearance, Spell Scroll of Protection from Poison","Rope of Climbing, Strange Material property (spider silk)","Clothes of Mending, Temperate property",,Wilbur the Baby Groundhog,,500,,
